"ensembl_id","gene_symbol","logFC_discovery","adj.P.Val_discovery","logFC_validation","adj.P.Val_validation","direction","hspc_mean_expr","hspc_status"
"ENSG00000162747","FCGR3B",-8.0576691272085,2.70807741696283e-306,-0.225167444472229,4.8462160109616e-27,"Down",5.94849193548387,"HSPC-low"
"ENSG00000163464","CXCR1",-8.03548504322808,0,-0.182103594052666,2.31105264152527e-55,"Down",5.12127419354839,"HSPC-low"
"ENSG00000086506","HBQ1",-7.8198714063183,1.24194949388266e-273,-0.219821012591998,3.56422912907056e-17,"Down",5.7524,"HSPC-low"
"ENSG00000204936","CD177",-7.39919772780458,1.20839428248654e-184,-0.306493351695098,3.15000578696924e-66,"Down",5.36365806451613,"HSPC-low"
"ENSG00000100985","MMP9",-7.13687727821249,1.01521386700634e-279,-0.330562455651529,2.43889392758843e-53,"Down",5.57315483870968,"HSPC-low"
"ENSG00000115590","IL1R2",-6.80926010894711,8.78715537433346e-153,-0.211108877925416,2.83200701586014e-19,"Down",5.95369193548387,"HSPC-low"
"ENSG00000088882","CPXM1",6.40223759518616,0,0.175519610831773,1.58049783262893e-25,"Up",NA,"Not-evaluated"
"ENSG00000171051","FPR1",-6.35198761558676,6.07335647305338e-258,-0.187755567618466,1.19877256598334e-34,"Down",5.88905,"HSPC-low"
"ENSG00000103569","AQP9",-6.32729666886547,1.66013446424802e-230,-0.183667660254951,6.62847832450658e-15,"Down",5.84726774193548,"HSPC-low"
"ENSG00000148346","LCN2",-6.0762340277237,3.15954452470738e-152,-0.424241420848106,1.54149393089789e-45,"Down",6.73149032258065,"HSPC-low"
"ENSG00000112303","VNN2",-5.77346431313454,2.91442220212907e-213,-0.212888236918481,2.32614385092517e-19,"Down",6.85418387096774,"HSPC-low"
"ENSG00000008438","PGLYRP1",-5.44280859976114,3.06481579524547e-252,-0.395267172491459,1.46175293620461e-36,"Down",5.88223870967742,"HSPC-low"
"ENSG00000105501","SIGLEC5",-5.42081010398219,4.3260373765706e-275,-0.227246248633542,1.59175734166753e-35,"Down",5.89496451612903,"HSPC-low"
"ENSG00000180871","CXCR2",-5.36291112222097,3.63107528999793e-175,-0.206417380774474,9.74094307783098e-34,"Down",6.59253548387097,"HSPC-low"
"ENSG00000163221","S100A12",-5.34736247589798,6.07071225333991e-137,-0.253247558518871,3.67650049275191e-26,"Down",6.64362580645161,"HSPC-low"
"ENSG00000206177","HBM",-5.20341592917436,4.07685281810863e-213,-0.232852125420188,3.30499013621797e-17,"Down",NA,"Not-evaluated"
"ENSG00000182885","ADGRG3",-4.97361929672398,6.5601499941255e-254,-0.176840084992571,1.55081031243293e-25,"Down",5.43077419354839,"HSPC-low"
"ENSG00000115607","IL18RAP",-4.96128072110326,7.90231961468644e-184,-0.312226750396122,2.33636698383763e-48,"Down",5.48173225806452,"HSPC-low"
"ENSG00000229314","ORM1",-4.94636491463867,8.7394549568187e-215,-0.415224047790281,6.29737877911825e-65,"Down",5.66846451612903,"HSPC-low"
"ENSG00000110203","FOLR3",-4.89629534412222,9.65088348639293e-123,-0.274694977289473,1.84209343605575e-34,"Down",5.25998387096774,"HSPC-low"
"ENSG00000138772","ANXA3",-4.88188987519406,1.81818004653292e-144,-0.31623747337611,1.8138883492269e-31,"Down",6.74981290322581,"HSPC-low"
"ENSG00000140932","CMTM2",-4.79982101902055,5.99945893253662e-181,-0.17096835451738,3.9909003659925e-20,"Down",NA,"Not-evaluated"
"ENSG00000164047","CAMP",-4.7179762592968,6.03731500183664e-126,-0.432092672838726,9.72597637022615e-49,"Down",6.42815483870968,"HSPC-low"
"ENSG00000172247","C1QTNF4",4.62878426399436,2.83173804392454e-273,0.163255585794276,8.49615138492885e-10,"Up",NA,"Not-evaluated"
"ENSG00000151948","GLT1D1",-4.53699061443595,9.26876396135143e-153,-0.282795928683174,5.24718851541412e-46,"Down",NA,"Not-evaluated"
"ENSG00000012223","LTF",-4.50181916548433,4.59083523010887e-68,-0.3428403831954,1.65201503863358e-20,"Down",6.46932903225806,"HSPC-low"
"ENSG00000115828","QPCT",-4.46774568152802,3.54863657970395e-161,-0.298204444283284,3.10203836429493e-35,"Down",6.46620322580645,"HSPC-low"
