"gene_symbol","coef","HR","HR_CI_lower","HR_CI_upper","p_value"
"IL1R2",0.62566278303879,1.86948460959858,1.19478649419433,2.92518598302592,0.00616099834794413
"SLC15A3",0.614223787384367,1.84822142984164,1.16867968166621,2.92289025582761,0.00862666367984325
"NKX2-3",0.605870048910038,1.8328461811905,1.16500413522644,2.88353064365016,0.00877918826091194
"NCF1C",0.59360551897392,1.81050446967805,1.14828565278101,2.85462630904203,0.0106145311049407
"NCF1",0.589685022876827,1.80342028979452,1.14454889851509,2.84157780053088,0.0110234750162625
"VNN2",0.577825850681167,1.78215953469,1.12728297149545,2.81747590214467,0.0134110769601658
"CXCR1",0.547384631463856,1.72872584515237,1.10377203071785,2.70752742824456,0.0167893836303967
"IL3RA",0.539606557927344,1.71533184568696,1.09504604204431,2.68697682823896,0.0184493619359362
"CXCR2",0.505438204758758,1.65771177851436,1.05366127278453,2.60805669867985,0.0288128247829158
"CD14",0.495264041801558,1.64093145635876,1.04423702483805,2.57858702614502,0.0317397910701298
"CMTM2",0.490167175229264,1.63258912560458,1.03903443203485,2.56521552209054,0.0334990086099293
"GZMB",0.488169274418191,1.62933063062515,1.03876012439689,2.55566058182558,0.0335414845138828
"FPR2",0.462600175059906,1.58819821419864,1.01203458736093,2.49237881697433,0.0442205970866865
