"gene_symbol","logrank_p","unadj_HR","unadj_HR_lower","unadj_HR_upper","unadj_cox_p","adj_HR","adj_HR_lower","adj_HR_upper","adj_cox_p"
"IL1R2",0.539648864706108,0.908259241622675,0.667838574594608,1.23523090964572,0.539637488121637,0.96207255454971,0.706710278176101,1.30970728571626,0.805934649896106
"VNN2",0.000354939231139004,0.570251505070472,0.417246501705548,0.779363703963715,0.00042524099862836,0.576349949486465,0.421687063670149,0.78773880654989,0.00054704242545257
"SLC15A3",0.868369312361809,0.974220450070502,0.716269070512272,1.32506836384374,0.867821484505557,0.783992110609152,0.568271188725456,1.08160266030017,0.138289270311116
"EGFL7",0.0686816081998516,1.33394280194906,0.977043104808076,1.82121279001426,0.0697130034313636,1.00773107038093,0.713158364726868,1.42397812384914,0.965178269537879
"CXCR1",0.552021159167808,0.911639362898977,0.671593196213468,1.23748473431927,0.552957854602104,1.00256656363574,0.736213341800422,1.36528320997591,0.987019573423498
"CXCR2",0.379707397092264,0.870263014553133,0.638043440951832,1.18700023523364,0.380233042421162,1.06731099575589,0.770994340089764,1.47751118578745,0.69462243929189
"CD14",0.84955551920628,1.02983773320265,0.75873801914991,1.39780231115377,0.850385565837881,1.11094386628782,0.816872797648136,1.51087938978493,0.5024537590155
"GZMB",0.228004563864113,1.20680293463173,0.88849887609517,1.63913918432437,0.228888994978471,1.33226962747721,0.97783828815218,1.81516962651602,0.0690720176085577
"FPR2",0.0084550888685047,1.51151544995063,1.10910246187779,2.05993497802838,0.00890736633045141,1.38342875024188,1.01159000066905,1.89194743495882,0.0421423130087787
"CMTM2",0.000481363764921135,1.74539222302831,1.27157180402426,2.39577033917118,0.000567468373697607,1.45214696280039,1.03425879446427,2.03888118994695,0.0312000417745918
